Player,Action,Destination,Depth,Value
Union,Paratroop Drop,AC,3,98.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,B,3,83.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,BA,3,56.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,BB,3,68.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,BC,3,122.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,BD,3,86.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,C,3,125.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,D,3,78.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,E,3,97.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,F,3,93.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,G,3,92.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,H,3,85.0
Confederacy,Paratroop Drop,AD,2,125.0
Union,Paratroop Drop,I,3,129.0
Confederacy,Paratroop Drop,AD,2,129.0
Union,Paratroop Drop,J,3,68.0
Confederacy,Paratroop Drop,AD,2,129.0
Union,Paratroop Drop,K,3,136.0
Confederacy,Paratroop Drop,AD,2,136.0
Union,Paratroop Drop,L,3,140.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,M,3,47.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,N,3,92.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,O,3,86.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,P,3,104.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,Q,3,98.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,R,3,99.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,S,3,59.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,T,3,124.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,U,3,110.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,V,3,96.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,W,3,72.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,X,3,132.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,Y,3,48.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,Z,3,73.0
Confederacy,Paratroop Drop,AD,2,140.0
Union,Paratroop Drop,A,1,93.0
Confederacy,Paratroop Drop,B,2,-Infinity
Union,Force March,S,3,27.0
Confederacy,Paratroop Drop,B,2,27.0
Union,Force March,T,3,92.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Force March,Z,3,41.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,AA,3,35.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,AB,3,11.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,AC,3,66.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,AD,3,19.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,BA,3,24.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,BB,3,36.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,BC,3,90.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,BD,3,54.0
Confederacy,Paratroop Drop,B,2,92.0
Union,Paratroop Drop,C,3,93.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,D,3,46.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,E,3,65.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,F,3,61.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,G,3,60.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,H,3,53.0
Confederacy,Paratroop Drop,B,2,93.0
Union,Paratroop Drop,I,3,97.0
Confederacy,Paratroop Drop,B,2,97.0
Union,Paratroop Drop,J,3,36.0
Confederacy,Paratroop Drop,B,2,97.0
Union,Paratroop Drop,K,3,104.0
Confederacy,Paratroop Drop,B,2,104.0
Union,Paratroop Drop,L,3,108.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,M,3,15.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,N,3,60.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,O,3,54.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,P,3,72.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,Q,3,66.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,R,3,67.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,S,3,27.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,T,3,92.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,U,3,78.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,V,3,64.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,W,3,40.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,X,3,100.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,Y,3,16.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,Z,3,41.0
Confederacy,Paratroop Drop,B,2,108.0
Union,Paratroop Drop,A,1,93.0
Confederacy,Paratroop Drop,BA,2,-Infinity
Union,Force March,S,3,54.0
Confederacy,Paratroop Drop,BA,2,54.0
Union,Force March,T,3,119.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Force March,Z,3,68.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,AA,3,62.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,AB,3,38.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,AC,3,93.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,AD,3,46.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,B,3,78.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,BB,3,63.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,BC,3,117.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,BD,3,81.0
Confederacy,Paratroop Drop,BA,2,119.0
Union,Paratroop Drop,C,3,120.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,D,3,73.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,E,3,92.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,F,3,88.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,G,3,87.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,H,3,80.0
Confederacy,Paratroop Drop,BA,2,120.0
Union,Paratroop Drop,I,3,124.0
Confederacy,Paratroop Drop,BA,2,124.0
Union,Paratroop Drop,J,3,63.0
Confederacy,Paratroop Drop,BA,2,124.0
Union,Paratroop Drop,K,3,131.0
Confederacy,Paratroop Drop,BA,2,131.0
Union,Paratroop Drop,L,3,135.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,M,3,42.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,N,3,87.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,O,3,81.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,P,3,99.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,Q,3,93.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,R,3,94.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,S,3,54.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,T,3,119.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,U,3,105.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,V,3,91.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,W,3,67.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,X,3,127.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,Y,3,43.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,Z,3,68.0
Confederacy,Paratroop Drop,BA,2,135.0
Union,Paratroop Drop,A,1,93.0
Confederacy,Paratroop Drop,BB,2,-Infinity
Union,Force March,S,3,42.0
Confederacy,Paratroop Drop,BB,2,42.0
Union,Force March,T,3,107.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Force March,Z,3,56.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,AA,3,50.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,AB,3,26.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,AC,3,81.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,AD,3,34.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,B,3,66.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,BA,3,39.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,BC,3,105.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,BD,3,69.0
Confederacy,Paratroop Drop,BB,2,107.0
Union,Paratroop Drop,C,3,108.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,D,3,61.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,E,3,80.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,F,3,76.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,G,3,75.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,H,3,68.0
Confederacy,Paratroop Drop,BB,2,108.0
Union,Paratroop Drop,I,3,112.0
Confederacy,Paratroop Drop,BB,2,112.0
Union,Paratroop Drop,J,3,51.0
Confederacy,Paratroop Drop,BB,2,112.0
Union,Paratroop Drop,K,3,119.0
Confederacy,Paratroop Drop,BB,2,119.0
Union,Paratroop Drop,L,3,123.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,M,3,30.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,N,3,75.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,O,3,69.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,P,3,87.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,Q,3,81.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,R,3,82.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,S,3,42.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,T,3,107.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,U,3,93.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,V,3,79.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,W,3,55.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,X,3,115.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,Y,3,31.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,Z,3,56.0
Confederacy,Paratroop Drop,BB,2,123.0
Union,Paratroop Drop,A,1,93.0
Confederacy,Paratroop Drop,BC,2,-Infinity
Union,Force March,S,3,-12.0
Confederacy,Paratroop Drop,BC,2,-12.0
Union,Force March,T,3,53.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Force March,Z,3,2.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,AA,3,-4.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,AB,3,-28.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,AC,3,27.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,AD,3,-20.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,B,3,12.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,BA,3,-15.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,BB,3,-3.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,BD,3,15.0
Confederacy,Paratroop Drop,BC,2,53.0
Union,Paratroop Drop,C,3,54.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,D,3,7.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,E,3,26.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,F,3,22.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,G,3,21.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,H,3,14.0
Confederacy,Paratroop Drop,BC,2,54.0
Union,Paratroop Drop,I,3,58.0
Confederacy,Paratroop Drop,BC,2,58.0
Union,Paratroop Drop,J,3,-3.0
Confederacy,Paratroop Drop,BC,2,58.0
Union,Paratroop Drop,K,3,65.0
Confederacy,Paratroop Drop,BC,2,65.0
Union,Paratroop Drop,L,3,69.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,M,3,-24.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,N,3,21.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,O,3,15.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,P,3,33.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,Q,3,27.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,R,3,28.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,S,3,-12.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,T,3,53.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,U,3,39.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,V,3,25.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,W,3,1.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,X,3,61.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,Y,3,-23.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,Z,3,2.0
Confederacy,Paratroop Drop,BC,2,69.0
Union,Paratroop Drop,A,1,69.0
Confederacy,Paratroop Drop,BD,2,-Infinity
Union,Force March,S,3,24.0
Confederacy,Paratroop Drop,BD,2,24.0
Union,Force March,T,3,89.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Force March,Z,3,38.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,AA,3,32.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,AB,3,8.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,AC,3,63.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,AD,3,16.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,B,3,48.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,BA,3,21.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,BB,3,33.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,BC,3,87.0
Confederacy,Paratroop Drop,BD,2,89.0
Union,Paratroop Drop,C,3,90.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,D,3,43.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,E,3,62.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,F,3,58.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,G,3,57.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,H,3,50.0
Confederacy,Paratroop Drop,BD,2,90.0
Union,Paratroop Drop,I,3,94.0
Confederacy,Paratroop Drop,BD,2,94.0
Union,Paratroop Drop,J,3,33.0
Confederacy,Paratroop Drop,BD,2,94.0
Union,Paratroop Drop,K,3,101.0
Confederacy,Paratroop Drop,BD,2,101.0
Union,Paratroop Drop,L,3,105.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,M,3,12.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,N,3,57.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,O,3,51.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,P,3,69.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,Q,3,63.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,R,3,64.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,S,3,24.0
Confederacy,Paratroop Drop,BD,2,105.0
Union,Paratroop Drop,T,3,89.0
